Defense,Model,BER,STD
NoDef,df,0.016115396,0.001318104
NoDef,awf_cnn,0.038418553,0.00370698
NoDef,var_cnn,0.009927013,0.000945302
NoDef,tf,0.083022222,0.02216648
wtfpad,df,0.09988605,0.005634512
wtfpad,awf_cnn,0.366143407,0.015045784
wtfpad,var_cnn,0.067075251,0.003414118
wtfpad,tf,0.406777778,0.025403883
Front_T1,df,0.212167153,0.012870881
Front_T1,awf_cnn,0.619926634,0.019328787
Front_T1,var_cnn,0.147935545,0.014673338
Front_T1,tf,0.548566667,0.024332374
Front_T2,df,0.29891644,0.017660189
Front_T2,awf_cnn,0.689694972,0.017955314
Front_T2,var_cnn,0.244085223,0.032641639
Front_T2,tf,0.631744444,0.019101373
cs_buflo,df,0.691789444,0.002891368
cs_buflo,awf_cnn,0.690560965,0.003767857
cs_buflo,var_cnn,0.701798531,0.002348326
cs_buflo,tf,0.702,0.002873248
tamaraw,df,0.855622197,0.001070036
tamaraw,awf_cnn,0.856236168,0.000704648
tamaraw,var_cnn,0.859269564,0.000999719
tamaraw,tf,0.858511111,0.002335924