,ber,acc,mi
merged_0_training,0.006622,0.989707,6.611460204
merged_1_training,0.473245,0.441749,3.606023468
merged_2_training,0.712353,0.222427,1.71228425
merged_3_training,0.815633,0.1229175,0.932214713
merged_4_training,0.862925,0.08515555,0.608167373
merged_5_training,0.889511,0.0663889,0.425621727
merged_6_training,0.904537,0.05139555,0.324835051
merged_7_training,0.915247,0.04724665,0.256382057
merged_8_training,0.919176,0.04074,0.215194556
merged_9_training,0.925177,0.0364667,0.185084789